,01,02,03,04,05,019,032,036,037,038,0250,P3,P4,P42,P45,P75,1,13,18,22,33,69,79,343,362,372,Es
10:33,-1,εβδομηκοντα,υπεστρεψαν δε οι εβδο δυο μετα χα λεγοντεσ κυριε και τα δαιμονια υποτασσε ημιν εν τω ονομα σου ,εβδομηκοντα,υπεστρεψαν δε οι οβ μετα χαρασ λεγοντεσ κυριε και τα δαιμονια υποτασσεται ημειν εν τω ονοματι σου ,-1,-1,-1,-1,-1,-1,-1,-1,-1,υπεστρεψα δε ο οβ μετα χαρασ λεγοντεσ κυριε και τα δαιμονια υποτασσεται ημιν εν τωι ονοματι σου ,υπεστρεψαν δε οι οβ με χαρασ λεγοντεσ κυριε και τα δαι υποτασσεται ημιν εν τω ονοματι σου ,υπεστρεψαν δε οι ευδο μετα χαρασ λεγοντεσ κυριε και τα δαιμονια ημιν υποτασσεται εν τω ο σου ,υπεστρεψαν δε οι εβδο μετα χαρασ μεγαλησ λεγοντεσ κυριε και τα δαιμονια υπο υμιν εν τω ονοματι σου ,εβδομηκοντα,εβδομηκοντα,εβδομηκοντα,υπεστρεψαν δε οι εβ μετα χαρασ λεγοντεσ κυριε και τα δαιμονια υποτασσεται ημιν εν τω ονοματι σου ,-1,εβδομηκοντα,εβδομηκοντα,εβδομηκοντα,εβδομηκοντα
10:34,-1,υποτασσεται ημιν,υπεστρεψαν δε οι εβδο δυο μετα χα λεγοντεσ κυριε και τα δαιμονια υποτασσε ημιν εν τω ονομα σου ,υποτασσεται ημιν,υπεστρεψαν δε οι οβ μετα χαρασ λεγοντεσ κυριε και τα δαιμονια υποτασσεται ημειν εν τω ονοματι σου ,-1,-1,-1,-1,-1,-1,-1,-1,-1,υποτασσεται ημιν,υποτασσεται ημιν,ημιν υποτασσεται,υπεστρεψαν δε οι εβδο μετα χαρασ μεγαλησ λεγοντεσ κυριε και τα δαιμονια υπο υμιν εν τω ονοματι σου ,υποτασσεται ημιν,υπεστρεψαν δε οι εβδομηκοντα μετα χαρασ λεγοντεσ κυριε και τα δαιμονια υποτασ ημιν εν τωι ονοματι σου ,υποτασσεται ημιν,υποτασσεται ημιν,-1,υπεστρε δε οι εβδομηκοντα μετα χαρασ λεγοντεσ κυριε και τα δαιμονια υπο ημιν εν τω ονοματι σου ,υποτασσεται ημιν,υποτασσεται ημιν,υπεστρεψαν δε οι εβδομηκοντα μετα χαρασ λεγοντεσ κυριε και τα δαιμονια υποτασσ εται ημιν εν τω ονοματι σου
10:35,-1,αυτη,αυτη,αυτη,αυτη δε,-1,-1,-1,-1,-1,-1,-1,-1,-1,αυτη,αυτη,αυτη,αυτη,αυτη,αυτη,αυτη,αυτη,-1,αυτη δε,αυτη,αυτη,αυτη
10:36,-1,εν ταυτη τη ωρα ηγαλλιασατο τω πνι ο ισ και ειπεν εξομολογουμαι σοι περ κυριε του ουρανου και τησ γησ οτι απεκρυψασ ταυτα απο σοφων και συνετων και απεκαλυψασ αυτα νηπι ναι ο πηρ οτι ουτωσ εγε ευδοκια εμπροσθεν σου ,τω πνευματι τω αγιω,εν αυτη τη ωρα ηγαλλιασατο τω πνι τω αγιω ο ισ και ειπεν εξομολογουμαι σοι περ κυριε του ουρα και τησ γησ οτι απεκρυψασ ταυτα απο σοφων και συνετων και απεκαλυψασ αυτα νηπιοισ ναι ο πηρ οτι ουτωσ ευδοκια εγενετο εγενετο ευδοκια εμπροσθεν σου ,τω πνευματι τω αγιω,-1,-1,-1,-1,-1,-1,-1,-1,-1,εν αυτηι τηι ωρα ηγαλλιασατο εν τωι πνι και ειπεν εξομο σοι πρ κυριε του ουρανου οτι απεκρυψασ ταυτα απο σοφων και συνετων και απεκαλυψασ αυτα νηπιοισ ναι ο πηρ οτι ουτωσ ευδα εγενετο εμπ σου ,εν αυτη τ ωρα ηγ τω πνι τω αγ και ειπ εξομολογουμαι σο πατερ κυριε του ουρανου και τησ γησ οτι εκ ταυτα απο σοφων και συνετ και απεκαλυψασ αυτα νη ναι ο πατηρ οτι ουτωσ ευ εγενετο εμπροσθεν σου ,εν αυτηι τηι ωραι ηγαλλιασατο τω πνι τω αγιωι ο ισ και ει εξομολογουμαι σοι περ κυριε του ουρανου και τησ γησ οτι απεκρυψασ ταυτα απο σοφων και συνετων και απεκαλυψασ αυτα νηπιοισ ναι ο πηρ οτι ουτωσ εγε ευδοκια εμπροσθεν σου ,εν αυτη τη ωρα ηγα ο ισ τω πνι και ειπεν εξομολο σοι περ κυριε του ουρανου και τησ γησ οτι απεκρυψασ ταυτα απο σοφων και συνε και απεκαλυψασ αυτα νηπιοισ ναι ο πηρ οτι ουτωσ εγε ευδοκια εμπροσ σου ,εν αυτη τη ωρα ηγαλλια τω πνι ο ισ και ειπεν εξομολογουμαι σοι περ κυριε του ουρανου και τησ γησ οτι απεκρυψασ ταυτα απο σοφων και συνετων και απε αυτα νηπιοισ ναι ο πηρ οτι ουτωσ εγενετο ευδοκια εμπροσθεν σου ,εν αυτηι τηι ωραι ηγαλλιασατο τωι πνι ο ισ και ειπεν εξομολογουμαι σοι περ κυριε του ουρανου και τησ γησ οτι απε ταυτα απο σοφων και συνετων και απεκαλυψασ αυτα νηπιοισ ναι ο πηρ οτι ουτωσ εγενετο ευδοκια εμπροσθεν σου ,εν αυτη τη ωρα ηγαλλιασατο ο ισ εν τω πνι τω αγιω και ειπεν εξομολογουμαι σοι περ κυριε του ουρανου και τησ γησ οτι απεκρυψασ ταυτα απο σοφων και συνετων και απεκαλυψασ αυτα νηπιοισ ναι ο πηρ οτι ουτωσ ευδοκια εγενετο εμπροσθεν σου ,εν αυτη τη ωρα ηγαλλιασατο τω πνι ο ιησουσ και ειπεν εξομολογουμαι σοι παρ κυριε του ουρανου και τησ γησ οτι απεκρυψασ ταυτα απο σοφων και συνετων και απεκαλυψασ αυτα νηπι ναι ο πηρ οτι ουτωσ εγενετο ευδοκια εμπρο σου ,-1,εν αυτη δε τη ωρα ηγαλλιασατο τω πνι ο ισ και ειπεν εξομολογουμαι σοι περ κυριε του ουρανου και τησ γησ οτι α πεκρυψασ ταυτα απο σοφων και συνε και απεκαλυψασ αυτα νηπιοισ ναι ο πηρ οτι ουτωσ εγενετο ευδοκια εμπροσθεν σου ,εν αυτη τη ωρα ηγαλλιασατο τω πνι ο ισ και ειπεν εξομολογουμαι σοι περ κυριε του ουρανου και τησ γησ εξομολογουμαι σοι περ κυριε του ουρανου και τησ γησ οτι απεκρυψασ ταυτα απο σοφων και συνετων και απεκαλυψασ αυτα νηπιοισ ναι ο πηρ οτι ουτωσ εγενετο ευδοκια εμπροσθεν σου ,εν αυτη τη ωρα ηγαλλιασατο τω πνευματι ο ιησουσ και ειπεν εξομολογουμαι σοι πατερ κυριε του ουρανου και τησ γησ οτι απεκρυψασ ταυτα απο σοφων και συνετων και απεκαλυψασ αυτα νηπιοισ ναι ο πατηρ οτι εγενετο ουτωσ ευδοκια εμπροσθεν σου ,εν αυτη τη ωρα ηγαλλιασατο τω πνευματι ο ιησουσ και ειπεν εξομολογουμαι σοι πατερ κυριε του ουρανου και τησ γησ οτι απεκρυψασ ταυτα απο σοφων και συνετων και απεκαλυψασ αυτα νηπιοισ ναι ο πατηρ οτι ουτωσ εγενετο ευδοκια εμπροσθεν σου
10:37,-1,παντα,παντα,και στραφεισ προσ τουσ μαθητασ αυτου ειπεν παν μοι παρε υπο του πρσ μου και ουδεισ επιγινωσκει τισ ε ο υιοσ ει μη ο πηρ και τισ εστιν ο πηρ ει μη ο υσ και ω εαν βουληται ο υσ αποκαλυψαι ,παντα,-1,-1,-1,-1,-1,-1,-1,-1,-1,παντα,π μοι παρεδοθη υπο του πρσ μου και ουδεισ γεινωσκει τισ εστιν ο υσ ει μη ο πρ και τισ εστιν ο πρ ει μη ο υσ και ω εαν βουληται ο υιοσ αποκαλυψαι ,παντα,παντα,και στραφεισ προσ τουσ μαθητασ ειπε παντα,παντα,παντα,παντα,-1,παντα,και ουδεισ γινωσκει τισ εστιν ο υιοσ ει μι ο πηρ και τισ εστιν ο πηρ ει μη ο υιοσ και ω εαν βουληται ο υιοσ αποκαλυψαι ,παντα,παντα
10:38,-1,και στραφεισ προσ τουσ μα ειπεν παντα μοι παρεδοθη υπο του πρσ μου και ουδεισ γινωσκει τισ εστιν ο υιοσ ει μη ο πηρ και τισ εστιν ο πηρ ει μη ο υιοσ και ω εαν βουλετε ο υιοσ αποκαλυψαι ,παντα μοι παρεδοθη υπο του πατροσ μου και ουδεισ γεινωσκει γινωσκει τισ εστιν ο υιοσ ει μη ο πα και τισ εστιν ο πα ει μη ο υιοσ και ω αν βουληται ο υιοσ αποκα ,και στραφεισ προσ τουσ μαθητασ αυτου ειπεν παν μοι παρε υπο του πρσ μου και ουδεισ επιγινωσκει τισ ε ο υιοσ ει μη ο πηρ και τισ εστιν ο πηρ ει μη ο υσ και ω εαν βουληται ο υσ αποκαλυψαι ,παντα μοι παρεδοθη απο του πατροσ και ουδεισ γεινωσκει τισ εστιν ο υιοσ ει μη ο πατηρ και τισ εστιν ο πατηρ ει μη ο υιοσ και ω αν βουληται ο υιοσ αποκαλυψαι ,-1,-1,-1,-1,-1,-1,-1,-1,-1,παντα μοι παρεδοθη υπο του πρσ μου και ουδεισ γεινσκει τσ εστιν ο υσ ει μη ο πηρ και τισ εστιν ο πηρ ει μη ο υσ ,π μοι παρεδοθη υπο του πρσ μου και ουδεισ γεινωσκει τισ εστιν ο υσ ει μη ο πρ και τισ εστιν ο πρ ει μη ο υσ και ω εαν βουληται ο υιοσ αποκαλυψαι ,παντα μοι παρεδοθη υπο του πρσ μου και ουδεισ γινωσκει τισ εστιν ο υσ ει μη ο πηρ και τισ εστιν ο πηρ ει μη ο υισ και ωι εαν βουληται ο υσ α ,παντα μοι παρεδωθη υπο του πρσ μου και ουδεισ γινωσκει τισ εστιν ο υιοσ ει μι ο πηρ και τισ εστιν ο πηρ ει μι ο υιοσ και ω ε βουληται ο υιοσ α ,και στραφεισ προσ τουσ μαθητασ ειπε παντα μοι παρεδοθη υπο του πρσ μου και ουδεισ γινωσκει τισ εστιν ο υιοσ ει μη ο πηρ και τισ εστιν ο πηρ ει μη ο υιοσ και ω εαν βουληται ο υιοσ αποκαλυψαι ,παντα μοι παρεδοθη υπο του πρσ μου και ουδεισ γινωσκει τισ εστιν ο υιοσ ει μη ο πηρ και τισ εστιν ο πηρ ει μη ο υιοσ και ωι εαν βουληται ο υσ αποκαλυψαι ,παντα μοι παρεδοθη υπο του πρσ μου και ουδεισ επιγινωσκει τισ εστιν ο υσ ει μη ο πηρ και τισ εστιν ο πηρ ει μη ο υσ και ω αν βουλη ο υσ αποκαλυψαι ,παντα μοι παρεδοθη υπο του πρσ μου και ουδεισ γινωσκει τισ εστιν ο υιοσ ει μη ο πηρ και τισ εστιν ο πηρ ουδεισ γινωσκει ει μη ο υιοσ και ο εαν βουλεται ο υιοσ αποκαλυψαι ,-1,παντα μοι παρε υπο του πρσ μου και ουδεισ επι τισ εστιν ο υσ ει μη ο πηρ και τισ εστιν ο πηρ ει μη ο υσ και ω εαν βου ο υσ αποκαλυψαι ,και ουδεισ γινωσκει τισ εστιν ο υιοσ ει μι ο πηρ και τισ εστιν ο πηρ ει μη ο υιοσ και ω εαν βουληται ο υιοσ αποκαλυψαι ,παντα παρεδοθη μοι υπο του πατροσ μου και ουδεισ γινωσκει τισ εστιν ο υιοσ ει μη ο πατηρ και τισ εστιν ο πατηρ ει μη ο υιοσ και ω εαν βουληται ο υιοσ αποκαλυψαι ,και στραφεισ προσ τουσ μαθητασ ειπεν παντα παρεδοθη μοι υπο του πατροσ μου και ουδεισ γινωσκει τισ εστιν ο υιοσ ει μη ο πατηρ και τισ εστιν ο πατηρ ει μη ο υιοσ και ω εαν βουληται ο υιοσ αποκαλυψαι
10:39,-1,,,,τισ εστιν ο υιοσ ει μη ο πατηρ,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,-1,,,τισ εστιν ο υιοσ ει μη ο πατηρ,τισ εστιν ο υιοσ ει μη ο πατηρ
10:40,-1,ειπε(ν),ειπε(ν),ειπε(ν),ειπεν αυτοισ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ειπε(ν),ειπεν αυτοισ,ειπε(ν),και στραφεισ προσ τουσ μαθητασ κατ ιδιαν ειπε μακαριοι οι οφθαλμοι οι βλεποντεσ α βλεπετε ,ειπε(ν),ειπε(ν),ειπε(ν),-1,ειπε(ν),και στραφεισ προσ τουσ μαθητασ κατ ιδιαν ειπε μακα οι οφθαλμοι οι βλεποντεσ α βλεπετε ,και στραφεισ προσ τουσ μαθητασ κατ ιδιαν ειπε μακαριοι οι οφθαλμοι οι βλεποντεσ α υμεισ βλεπετε ,ειπε(ν)
10:41,-1,γαρ,γαρ,γαρ,γαρ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,δε,γαρ,γαρ,γαρ,γαρ,γαρ,γαρ,-1,γαρ,γαρ,γαρ,γαρ
10:42,-1,δε,δε,δε,δε,-1,-1,-1,-1,-1,-1,-1,-1,-1,δε,δε,δε,δε,δε,δε,δε,δε ιησουσ,-1,δε,δε,δε,δε
10:43,-1,ειπεν δε αυ ορθωσ απεκριθησ τουτο ποιει και ζηση ,αυτω,αυτω,αυτω,-1,-1,-1,-1,-1,-1,-1,-1,-1,αυτω,αυτω,αυτω,αυτω,αυτω,αυτω,αυτω,αυτω,-1,αυτω,αυτω,αυτω,αυτω
10:44,-1,εκδυσαντεσ,υπολαβων ο ισ ειπεν ανθρωποσ τισ κατε απο ιερουσαλημ εισ ιερειχω ιεριχω και λησταισ περιεπεσεν οι και εκ αυτον και πληγασ επιθεντεσ α αφεντεσ η ,εκδυσαντεσ,εκδυσαντεσ,-1,-1,-1,-1,-1,-1,-1,-1,-1,εκδυσαντεσ,υπολα ο ισ ειπεν ανοσ τισ κατεβαι απο ιλημ εισ ιερειχω και λη περιεπεσεν οι και εκδυσαν αυτον και πληγασ επιθεντεσ απηλθαν αφεντεσ ημιθανη ,εξεδυσαν,υπολαβων δε ο ισ ειπεν ανοσ τισ κατεβαινεν απο ιλημ εισ ιεριχω και λησταισ περιεπεσεν οι και εκ αυτον και πληγασ επιθεντεσ απηλθον αφεντεσ ημιθανη τυγχανοντα ,εκδυσαντεσ,υπολαβων δε ο ισ ειπεν ανοσ τισ κατεβαινεν απο ιερουσαλημ εισ ιεριχω και ληισταισ περιεπεσεν οι και ε αυτον και πληγασ επιθεντεσ απηλθον αφεντεσ ημιθανη ,εκδυσαντεσ,εκδυσαντεσ,-1,εκδυσαντεσ,εκδυσαντεσ,εκδυσαντεσ,εκδυσαντεσ
10:45,-1,υπολαβων δε ο ισ ειπεν ανοσ τισ κατεβαινεν απο ιλημ εισ ιεριχω και λησταισ περι οι και εκδυσαντεσ αυτον και πληγασ επιθεντεσ απηλθον αφεντεσ ειμηθα τυγχανοντα ,υπολαβων ο ισ ειπεν ανθρωποσ τισ κατε απο ιερουσαλημ εισ ιερειχω ιεριχω και λησταισ περιεπεσεν οι και εκ αυτον και πληγασ επιθεντεσ α αφεντεσ η ,υπολαβων δε ο ισ ειπεν ανοσ τισ καταβαινει απο ιλημ εισ ιεριχω και λησταισ περιεπεσεν οι και εκδυσαντεσ αυτον και πληγασ επιθεντεσ απηλθον αφεικαν αφεντεσ η τυγχανονταν τυγχανοντα ,ημιθανη,-1,-1,-1,-1,-1,-1,-1,-1,-1,ημιθανη,ημιθανη,ημιθανη,ημιθανη τυγχανοντα,ημιθανη τυγχανοντα,ημιθανη,υπολαβων δε ο ισ ειπεν ανοσ τισ κατεβαινεν απο ιερουσαλημ εισ ιεριχω και λησταισ περιεπεσεν οι και εκδυσαντεσ αυτον και πληγασ επιθεντεσ απηλθον αφεντεσ ειμηθανη ,ημιθανη,-1,υπολαβων δε ειπεν ο ισ ανοσ τισ κατεβαινεν απο ιλημ εισ ιεριχω και λησταισ περιεπεσεν οι και εκδυσαντεσ αυτον και πληγασ επι απηλθον αφεντεσ ημιθα τυγχανοντα ,ημιθανη τυγχανοντα,ημιθανη,ημιθανη τυγχανοντα
10:46,-1,,,γενομενοσ,γενομενοσ,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,γενομενοσ,γενομενοσ,γενομενοσ,,γενομενοσ,-1,γενομενοσ,γενομενοσ,,γενομενοσ
10:47,-1,,ελθων,ελθων,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,ελθων,ελθων,,ελθων,ελθων,ελθων,ελθων,-1,ελθων,ελθων,ελθων,ελθων
10:48,-1,ιδων αυτον,ιδων,ιδων,ιδων αυτον,-1,-1,-1,-1,-1,-1,-1,-1,-1,ιδων,ιδων,ιδων,ιδων,ιδων,ιδων,ιδων,ιδων,-1,ιδων αυτον,ιδων,ιδων,ιδων
10:49,-1,ιδων αυτον,ιδων,ιδων αυτον,ιδων αυτον,-1,-1,-1,-1,-1,-1,-1,-1,-1,ιδων,ιδων,ιδων,ιδων αυτον,ιδων αυτον,ιδων αυτον,ιδων,ιδων αυτον,-1,ιδων αυτον,ιδων αυτον,ιδων αυτον,ιδων αυτον
10:50,-1,αυτον,αυτον,αυτον,αυτον,-1,-1,-1,-1,-1,-1,-1,-1,-1,αυτον,,αυτον,αυτον,αυτον,αυτον,αυτον,αυτον,-1,αυτον,αυτον,αυτον,αυτον
10:51,-1,αυριον,αυριον,αυριον,αυριον,-1,-1,-1,-1,-1,-1,-1,-1,-1,και επι τη επαυ ελ εδωκεν δυο δηναρια τωι πανδοκει και ειπε επιμελητι αυτου και ο τι εαν προσ εγω εν τωι επσθα μ αποδωσω σοι ,αυριον,αυριον,αυριον,αυριον,αυριον,αυριον,αυριον,-1,αυριον,αυριον,αυριον,αυριον
10:52,-1,ειπεν αυτω,ειπεν,ειπεν αυτω,ειπεν,-1,-1,-1,-1,-1,-1,-1,-1,-1,και επι τη επαυ ελ εδωκεν δυο δηναρια τωι πανδοκει και ειπε επιμελητι αυτου και ο τι εαν προσ εγω εν τωι επσθα μ αποδωσω σοι ,ειπεν,ειπεν,ειπεν αυτω,ειπεν αυτω,ειπεν αυτω,ειπεν,ειπεν αυτω,-1,ειπεν αυτω,ειπεν αυτω,ειπεν,ειπεν αυτω
10:53,-1,και επι την αυριον εξελθων εκ δυο δηναρια εδωκεν τω πανδοχει και ειπεν αυτω επιμεληθητι αυτου και ο τι αν προσδαπανησησ εγω εν τω επανερχεσθαι με απο σοι ,και επι την αυριον εκβαλων εδωκεν εδωκε δυ δηναρια τω πανδο και ειπεν επιμε αυτου και ο τι εαν προσδαπανησησ εγω εν τω επανερχε με αποδωσω σοι ,και επι την αυριον εξελθων και εκβαλων δυο δηναρια εδωκεν τω πανδοχι και ειπεν αυτω επιμεληθητι αυτου και ο τι αν προσδαπανησησ εγω εν τω επανερχεσθαι με αποδωσω σοι ,και επι την αυριον εκβαλων δηναρια δυο εδωκεν τω πανδοκει πανδοχει και ειπεν επιμεληθητι αυτου και ο τι αν προσ εν τω επανερχεσθαι με εγω αποδωσω ,-1,-1,-1,-1,-1,-1,-1,-1,-1,και επι τη επαυ ελ εδωκεν δυο δηναρια τωι πανδοκει και ειπε επιμελητι αυτου και ο τι εαν προσ εγω εν τωι επσθα μ αποδωσω σοι ,και επι την αυριον εκβα εδωκεν β δηναρια τω παν και ειπεν επιμεληθητι αυτου και ο τι εαν προσδαπανη εγω εν τω επανερχεσθαι με αποδωσω σοι ,και επι την αυριον εκ δυο δηναρια εδωκεν τω παν και ειπεν επιμεληθητι αυτου και ο τι αν προσδαπανησισ προσδαπανησι εν τω επανερ μοι αποδωσω σοι ,και επι την αυριον ε εκβαλων δηνα εδωκε τω πανδο και ειπεν αυτω επιμεληθητι αυτου και ο τι αν προσδαπα εγω εν τω επα με αποδω σοι ,και επι την αυριον εξελθων εκβαλων δυο δηναρια εδωκε τω πανδοχει και ειπεν αυτω επιμεληθητι αυτου και ο τι αν προσδαπανησησ εγω εν τω επανερχεσθαι με αποδωσω σοι ,και επι την αυριον εξελθων εκβαλων δυο δηναρια εδωκεν τωι πανδοχει και ειπεν αυτωι επιμεληθητι αυτου και ο τι αν προσδα εγω εν τωι επανερχεσθαι με απο σοι ,και επι την αυριον εκβαλων δυο δηναρια εδωκεν τω πανδοχει και ειπεν επιμε αυτου και ο τι αν προσδαπανησησ εγω εν τω επανερχεσθαι με αποδωσο σοι ,και επι την αυριον εξελθων εκβαλων δυο δηναρια εδωκε το πανδοχει και ειπεν αυτω επιμε αυτου και ο τι αν προσδαπανησησ εγω εν τω επανερχεσθαι μοι αποδωσω σοι ,-1,και επι την αυριον εξελθων εκβαλων δυο δηναρια εδωκε τω παν και ειπεν αυτω επιμεληθητι αυτου και ο τι αν προσδαπανησησ εγω εν τω επανερχεσθαι με αποδω σοι ,και επι την αυριον εξελθων εκβαλων δυο δηναρια δεδωκε τω πανδοχει και ειπεν αυτω επιμεληθητι αυτου και ο τι αν προσδα εγω εν τω επανερχεσθαι με αποδωσω σοι ,και επι την αυριον εκβαλων δυο δηναρια εδωκε τω πανδοχει και ειπεν επιμεληθητι αυτου και ο τι αν προσδαπανησησ εγω εν τω επανερχεσθαι με αποδωσω σοι ,και επι την αυριον εξελθων εκβαλων δυο δηναρια εδωκεν τω πανδοχει και ειπεν αυτω επιμεληθητι αυτου και ο τι αν προσδαπανησησ εγω εν τω επανερχεσθαι με αποδωσω σοι
10:54,-1,εγω,εγω,εγω,εγω,-1,-1,-1,-1,-1,-1,-1,-1,-1,εγω,εγω,,εγω,εγω,εγω,εγω,εγω,-1,εγω,εγω,εγω,εγω
10:55,-1,με,με,με,με,-1,-1,-1,-1,-1,-1,-1,-1,-1,με,με,μοι,με,με,με,με,μοι,-1,με,με,με,με
10:56,-1,τισ ουν,τισ,τισ ουν,τινα ουν δοκεισ πλησιον γεγονεναι του ενπεσοντοσ εισ τουσ ληστασ ,-1,-1,-1,-1,-1,-1,-1,-1,-1,τισ,τισ,τισ,τισ ουν,τισ ουν,τισ ουν,τισ ουν,τισ ουν,-1,τισ ουν,τισ ουν,τισ,τισ ουν
10:57,-1,πλησιον δοκει σοι,πλησιον δοκει σοι,πλησιον δοκει σοι,τινα ουν δοκεισ πλησιον γεγονεναι του ενπεσοντοσ εισ τουσ ληστασ ,-1,-1,-1,-1,-1,-1,-1,-1,-1,τισ τουτων των τριων δοκει σοι π γεονεν του εμπεσοντοσ εισ τουσ ληστασ ,πλησιον δοκει σοι,δοκει σοι πλησιον,τισ ουν τουτων των τριων πλησιων δοκει σοι γεγονεναι του εμπεσοντοσ εισ τουσ λη ,πλησιον δοκει σοι,πλησιον δοκει σοι,τισ ουν τουτων των τριων γεγονεναι του εμπεσοντοσ εισ τουσ ληστασ ,πλησιον δοκει σοι,-1,τισ ουν των τριων τουτων δο σοι πλησιον γεγονεναι του εμπε εισ τουσ ληστασ ,πλησιον δοκει σοι,δοκει σοι πλησιον,δοκει σοι πλησιον
10:58,-1,ουν,δε,ουν,δε,-1,-1,-1,-1,-1,-1,-1,-1,-1,δε,δε,δε,δε,ουν,ουν,δε,δε,-1,δε,ουν,ουν,ουν
10:59,-1,αυτουσ,αυτουσ,αυτουσ,αυτον,-1,-1,-1,-1,-1,-1,αυτουσ,-1,-1,αυτουσ,αυτουσ,αυτον,αυτουσ,αυτουσ,αυτουσ,αυτουσ,αυτουσ,-1,αυτουσ,αυτουσ,αυτουσ,αυτουσ
10:60,-1,τον λογον,τον λογον,τον λογον,τον λογον,-1,-1,-1,-1,-1,-1,τον λογον,-1,-1,τον λογον,τον λογον,τον λογον,τον λογον,των λογων,τον λογον,τον λογον,τον λογον,-1,τον λογον,των λογων,τον λογον,τον λογον
10:61,-1,και τηδε ην αδελφη καλουμενη μαρια η και παρακαθεσθεισα παρα τουσ ποδασ του ιησου ηκουεν τον λογον αυτου ,και τηδε ην αδελφη κα μαρια η μαριαμ και παρακαθεσθεισα προσ παρα προσ τουσ ποδασ του κυριου ιησου κυριου η ηκουε τον λογον αυ ,και τηδε ην αδελ κα μαριαμ μαρια η και παρακαθεσθεισα προσ τουσ παρακαθεισασα παρα του πο αυτου του ιησου ηκουεν τον λογον αυτου ,και τηδε ην αδελφη καλουμενη μαρια η παρακαθισασα παρα τουσ ποδασ του κυριου ηκουε τον λογον ,-1,-1,-1,-1,-1,-1,και τηδε η αδελφη καλουμενη μαριαμ η κα παρακαθσα προσ τουσ πο του κυριου ηκουσεν τον λογον αυ ,-1,-1,και τη ην αδελφη καλουμενη μαρια και παρακαθισα πα τουσ ποδασ του ιη ηκουσεν τον λογον αυτου ,και τηδε ην α καλουμενη μαριαμ κα παρακαθεσθεισα προσ τουσ πο ιησου ηκο τον λογον αυτου ,και τηιδε ην αδελφη κα μαριαμ η και παρακαθισασα παρα τουσ ποδασ του ιησου ηκουεν τον λογον αυτου ,και τηδε ην αδελφη κα μαρια η και παρακαθησα παρα τουσ πο του ιησου ηκουεν τον λογον αυτου ,και τηδε ην αδελφη κα μαρια η και παρακαθισασα παρα τουσ ποδασ του ιησου ηκουε των λογων αυτου ,και τηιδε ην αδελφη καλουμενη μαρια η και παρακαθισασα παρα τουσ ποδασ του ιησου ηκουε τον λογον αυτου ,και τηδε ην αδελφη καλουμενη μαριαμ η και παρακαθισασα προσ τουσ ποδασ του ιησου ηκουεν τον λογον αυτου ,και τηδε ην αδελφη καλουμενη μαρια η και παρακαθησα παρα τουσ ποδασ του ιησου ηκουε τον λογον αυτου ,-1,και τηδε ην αδελφη καλουμενη μαρια η και παρακαθησασα παρα τουσ ποδασ του ιησου ηκουε τον λογον αυτου ,και τηδε ην αδελφη καλουμενη μαρια η και παρακαθησασα παρα τουσ ποδασ του ιησου ηκουε των λογων αυτου ,και τηδε ην αδελφη καλουμενη μαρια η και παρακαθισασα παρα τουσ ποδασ του ιεσου ηκουε τον λογον αυτου ,και τηδε ην αδελφη καλουμενη μαρια η και παρακαθισασα παρα τουσ ποδασ του ιησου ηκουεν τον λογον αυτου
10:62,-1,μελει,μελει,μελει,η δε μαρθα περιεσπατο περι πολλην διακονιαν επισταθεισ δε ειπεν κυριε ου μελι σοι οτι η αδελφη μου κατελιπεν με μονην διακονειν ειπον ουν αυτη ινα μου αντιλαβητε ,-1,-1,-1,-1,-1,-1,μελει,-1,-1,μελει,μελει,μελλει,μελει,μελει,μελει,μελει,μελει,-1,μελει,μελλει,μελει,μελει
